TIME;PLC_HMI_CONF(Bitset16);W1_ETH_PLC_LifeB(Unsigned8);TSW_ETBA_DirTrainOpSTS(Unsigned8);TSW_ETBA_LifeWord(Unsigned32)
51,456;0;142;2;1095
51,584;0;142;2;1100
51,712;0;142;2;1100
51,840;0;142;2;1100
51,968;0;142;2;1100
52,096;0;142;2;1105
52,224;0;142;2;1105
52,352;0;142;2;1105
52,480;0;143;2;1105
52,608;0;143;2;1109
52,736;0;143;2;1109
52,864;0;143;2;1109
52,992;0;143;2;1109
53,120;0;143;2;1114
53,248;0;143;2;1114
53,376;0;143;2;1114
53,504;0;144;2;1114
53,632;0;144;2;1119
53,760;0;144;2;1119
53,888;0;144;2;1119
54,016;0;144;2;1119
54,144;0;144;2;1124
54,272;0;144;2;1124
54,400;0;144;2;1124
54,528;0;145;2;1124
54,656;0;145;2;1129
54,784;0;145;2;1129
54,912;0;145;2;1129
55,040;0;145;2;1129
55,168;0;145;2;1134
55,296;0;145;2;1134
55,424;0;145;2;1134
55,552;0;146;2;1134
55,680;0;146;2;1139
55,808;0;146;2;1139
55,936;0;146;2;1139
56,064;0;146;2;1139
56,192;0;146;2;1144
56,320;0;146;2;1144
56,448;0;146;2;1144
56,576;0;147;2;1144
56,704;0;147;2;1149
56,832;0;147;2;1149
56,960;0;147;2;1149
57,088;0;147;2;1149
57,216;0;147;2;1153
57,344;0;147;2;1153
57,472;0;147;2;1153
57,600;0;148;2;1153
57,728;0;148;2;1158
57,856;0;148;2;1158
57,984;0;148;2;1158
58,112;0;148;2;1158
58,240;0;148;2;1163
58,368;0;148;2;1163
58,496;0;148;2;1163
58,624;0;149;2;1163
58,752;0;149;2;1168
58,880;0;149;2;1168
59,008;0;149;2;1168
59,136;0;149;2;1168
59,264;0;149;2;1173
59,392;0;149;2;1173
59,520;0;149;2;1173
59,648;0;150;2;1173
59,776;0;150;2;1178
59,904;0;150;2;1178
60,032;0;150;2;1178
60,160;0;150;2;1178
60,288;0;150;2;1183
60,416;0;150;2;1183
60,544;0;150;2;1183
60,672;0;151;2;1183
60,800;0;151;2;1188
60,928;0;151;2;1188
61,056;0;151;2;1188
61,184;0;151;2;1188
61,312;0;151;2;1193
61,440;0;151;2;1193
61,568;0;151;2;1193
61,696;0;152;2;1193
61,824;0;152;2;1198
61,952;0;152;2;1198
62,080;0;152;2;1198
62,208;0;152;2;1198
62,336;0;152;2;1203
62,464;0;152;2;1203
62,592;0;152;2;1203
62,720;0;153;2;1203
62,848;0;153;2;1208
62,976;0;153;2;1208
63,104;0;153;2;1208
63,232;0;153;2;1208
63,360;0;153;2;1213
63,488;0;153;2;1213
63,616;0;153;2;1213
63,744;0;154;2;1213
63,872;0;154;2;1218
64,000;0;154;2;1218
64,128;0;154;2;1218
64,256;0;154;2;1218
64,384;0;154;2;1223
64,512;0;154;2;1223
64,640;0;154;2;1223
64,768;0;155;2;1223
64,896;0;155;2;1228
65,024;0;155;2;1228
65,152;0;155;2;1228
65,280;0;155;2;1228
65,408;0;155;2;1233
65,536;0;155;2;1233
65,664;0;155;2;1233
65,792;0;156;2;1233
65,920;0;156;2;1238
66,048;0;156;2;1238
66,176;0;156;2;1238
66,304;0;156;2;1238
66,432;0;156;2;1243
66,560;0;156;2;1243
66,688;0;156;2;1243
66,816;0;157;2;1243
66,944;0;157;2;1248
67,072;0;157;2;1248
67,200;0;157;2;1248
67,328;0;157;2;1248
67,456;0;157;2;1253
67,584;0;157;2;1253
67,712;0;157;2;1253
67,840;0;158;2;1253
67,968;0;158;2;1258
68,096;0;158;2;1258
68,224;0;158;2;1258
68,352;0;158;2;1258
68,480;0;158;2;1263
68,608;0;158;2;1263
68,736;0;158;2;1263
68,864;0;159;2;1263
68,992;0;159;2;1268
69,120;0;159;2;1268
69,248;0;159;2;1268
69,376;0;159;2;1268
69,504;0;159;2;1273
69,632;0;159;2;1273
69,760;0;159;2;1273
69,888;0;160;2;1273
70,016;0;160;2;1278
70,144;0;160;2;1278
70,272;0;160;2;1278
70,400;0;160;2;1278
70,528;0;160;2;1283
70,656;0;160;2;1283
70,784;0;160;2;1283
70,912;0;161;2;1283
71,040;0;161;2;1288
71,168;0;161;2;1288
71,296;0;161;2;1288
71,424;0;161;2;1288
71,552;0;161;2;1293
71,680;0;161;2;1293
71,808;0;161;2;1293
71,936;0;162;2;1293
72,064;0;162;2;1298
72,192;0;162;2;1298
72,320;0;162;2;1298
72,448;0;162;2;1298
72,576;0;162;2;1303
72,704;0;162;2;1303
72,832;0;162;2;1303
72,960;0;163;2;1303
73,088;0;163;2;1308
73,216;0;163;2;1308
73,344;0;163;2;1308
73,472;0;163;2;1308
73,600;0;163;2;1313
73,728;0;163;2;1313
73,856;0;163;2;1313
73,984;0;164;2;1313
74,112;0;164;2;1317
74,240;0;164;2;1317
74,368;0;164;2;1317
74,496;0;164;2;1317
74,624;0;164;2;1323
74,752;0;164;2;1323
74,880;0;164;2;1323
75,008;0;165;2;1323
75,136;0;165;2;1327
75,264;0;165;2;1327
75,392;0;165;2;1327
75,520;0;165;2;1327
75,648;0;165;2;1332
75,776;0;165;2;1332
75,904;0;165;2;1332
76,032;0;166;2;1332
76,160;0;166;2;1337
76,288;0;166;2;1337
76,416;0;166;2;1337
76,544;0;166;2;1337
76,672;0;166;2;1342
76,800;0;166;2;1342
76,928;0;166;2;1342
77,056;0;167;2;1342
77,184;0;167;2;1347
77,312;0;167;2;1347
77,440;0;167;2;1347
77,568;0;167;2;1347
77,696;0;167;2;1352
77,824;0;167;2;1352
77,952;0;167;2;1352
78,080;0;168;2;1352
78,208;0;168;2;1357
78,336;0;168;2;1357
78,464;0;168;2;1357
78,592;0;168;2;1357
78,720;0;168;2;1362
78,848;0;168;2;1362
78,976;0;168;2;1362
79,104;0;169;2;1362
79,232;0;169;2;1367
79,360;0;169;2;1367
79,488;0;169;2;1367
79,616;0;169;2;1367
79,744;0;169;2;1372
79,872;0;169;2;1372
80,000;0;169;2;1372
80,128;0;170;2;1372
80,256;0;170;2;1377
80,384;0;170;2;1377
80,512;0;170;2;1377
80,640;0;170;2;1377
80,768;0;170;2;1382
80,896;0;170;2;1382
81,024;0;170;2;1382
81,152;0;171;2;1382
81,280;0;171;2;1387
81,408;0;171;2;1387
81,536;0;171;2;1387
81,664;0;171;2;1387
81,792;0;171;2;1392
81,920;0;171;2;1392
82,048;0;171;2;1392
82,176;0;172;2;1392
82,304;0;172;2;1397
82,432;0;172;2;1397
82,560;0;172;2;1397
82,688;0;172;2;1397
82,816;0;172;2;1402
82,944;0;172;2;1402
83,072;0;172;2;1402
83,200;0;173;2;1402
83,328;0;173;2;1407
83,456;0;173;2;1407
83,584;0;173;2;1407
83,712;0;173;2;1407
83,840;0;173;2;1412
83,968;0;173;2;1412
84,096;0;173;2;1412
84,224;0;174;2;1412
84,352;0;174;2;1417
84,480;0;174;2;1417
84,608;0;174;2;1417
84,736;0;174;2;1417
84,864;0;174;2;1422
